label	longitude	latitude	temperature	salinity	site_location	site_name
OSD150_2014-06-21_0m	-54.2752	-34.6759	9.99	18	South Atlantic Ocean	Laguna Rocha Sur
OSD151_2014-06-21_0m	-54.16	-34.42	11.67	32.86	South Atlantic Ocean	South Atlantic Microbial Observatory
OSD152_2014-06-20_10m	-63.6403	44.6936	8.5	30.1	North Atlantic Ocean	Compass Buoy Station - Bedford Basin
OSD152_2014-06-20_1m	-63.6403	44.6936	12.8	28.9	North Atlantic Ocean	Compass Buoy Station - Bedford Basin
OSD152_2014-06-20_5m	-63.6403	44.6936	10.8	29.8	North Atlantic Ocean	Compass Buoy Station - Bedford Basin
OSD153_2014-06-21_0m	-7.973119	36.997655	21.1	34.4	North Atlantic Ocean	Faro Island
OSD154_2014-06-20_1m	-1.16666	44.66666	20.7	32.4	Bay of Biscay	Arcachon-SOMLIT
OSD155_2014-06-21_12.8m	10.59863	59.81618	18.7	30.054	Skaggerak	Steilene Oslofjord
OSD155_2014-06-21_1m	10.59863	59.81618	18.7	30.054	Skaggerak	Steilene Oslofjord
OSD156_2014-06-21_11.8m	10.71999	59.89961	17.8	30.054	Skaggerak	Hvaler Tisler Site
OSD156_2014-06-21_1m	10.71999	59.89961	17.8	30.054	Skaggerak	Hvaler Tisler Site
OSD157_2014-06-20_1m	10.6282	59.622	18	26.115	Skaggerak	ELLEIm2
OSD157_2014-06-20_80m	10.6282	59.622	11.5	34.7	Skaggerak	ELLEIm2
OSD158_2014-06-21_0m	-25.19	37.4328	19.2	35.7	North Atlantic Ocean	Sao Miguel Azores II
OSD159_2014-06-21_2m	-4.552	48.359	16	34.78	Celtic Sea	Brest-SOMLIT
OSD162_2014-06-23_1m	-2.1031	56.9631	12.2	34.3163	North Sea	Stonehaven
OSD163_2014-06-20_2m	-2.9726	58.957	11.7	34.445	North Sea	Scapa
OSD164_2014-06-13_2m	-1.2825	60.14333	12.2	35.1354		Scalloway
OSD165_2014-06-23_2m	-5.6495	57.8498	14.3	32.4453	Inner Seas off the West Coast of Scotland	Loch Ewe
OSD166_2014-06-21_0.5m	-2.89966	43.43255	17.88	35.05	Mediterranean Sea - Western Basin	Armintza
OSD167_2014-06-21_0.1m	-18.1181	65.7064	11	1.1	Greenland Sea	Eyafjordur_6
OSD168_2014-06-21_2m	27.03421	38.41333	25.7352	38.301	Aegean Sea	IMST_izmir
OSD169_2014-06-21_0.1m	1.012958	51.796139	18.5	35.2	North Sea	"Brightlingsea Creek, Essex"
OSD17_2014-06-20_3m	2.810867	51.434733	16.6822	34.0252	North Sea	VLIZ
OSD170_2014-06-25_3m	2.9047	51.269517	18.6188	32.2575	North Sea	130
OSD171_2014-06-25_3m	2.849333	51.307333	18.2617	32.8054	North Sea	230
OSD172_2014-06-25_3m	3.218333	51.37485	18.4817	32.3383	North Sea	700
OSD173_2014-06-25_3m	3.13995	51.441017	18.1816	33.1261	North Sea	710
OSD174_2014-06-25_3m	3.059167	51.471567	17.9425	33.3739	North Sea	780
OSD175_2014-06-24_3m	2.50215	51.334817	17.2187	34.2852	North Sea	ZG02
OSD176_2014-06-24_3m	2.6135	51.2777	18.1228	33.3699	North Sea	215
OSD177_2014-06-24_3m	2.701667	51.18575	18.7362	32.5834	North Sea	120
OSD178_2014-06-24_3m	2.7897	51.580333	16.7589	34.4964	North Sea	435
OSD18_2014-06-20_75m	33.289649	35.363732	20.7	38.5	Mediterranean Sea - Eastern Basin	Kyrenia
OSD182_2014-06-24_3m	2.350467	51.458433	15.7139	34.9975	North Sea	W08
OSD183_2014-06-24_3m	2.698	51.74835	15.8014	35.0087	North Sea	W09
OSD184_2014-06-24_3m	2.4152	51.682917	15.8336	35.033	North Sea	W10
OSD185_2014-06-24_3m	2.451483	51.481583	16.1087	34.8998	North Sea	421
OSD186_2014-06-21_2.4m	-76.5416	38.885507	26.8	7.2	North Atlantic Ocean	SERC Rhode River Maryland
OSD188_2014-06-24_0m	115.4167	-32	21.7963	35.152	Indian Ocean	Rottnest Island
OSD189_2014-06-24_0m	147.622	-19.305	23.6203	35.2968	Coral Sea	Yongala
OSD19_2014-06-23_2m	33	35	29	39.1	Mediterranean Sea - Eastern Basin	Famagusta
OSD190_2014-07-13_0m	136.4413	-35.8372	15.9433	35.7899	Great Australian Bight	Kangaroo Island
OSD191_2014-07-02_0m	130.6952	-12.3382	24.76	34.19	Timor Sea	Darwin
OSD2_2014-06-20_0m	-3.9375	48.7778	14.38	35.128	English Channel	Roscoff - SOMLIT
OSD20_2014-06-20_0m	-22.015	64.208333	11	31.2	North Atlantic Ocean	Faxafloi
OSD20_2014-06-20_20m	-22.015	64.208333	11	31.2	North Atlantic Ocean	Faxafloi
OSD21_2014-06-21_0m	13.61	45.08	19.5	37.1	Adriatic Sea	Croatia
OSD22_2014-06-23_1m	5.74583	43.22639	21.9952	38.0871	Mediterranean Sea - Western Basin	Marseille Solemio SOMLIT
OSD24_2014-06-21_0m	-2.88005	35.1927	26.5	36	Alboran Sea	Marchica
OSD25_2014-06-21_0m	-2.214658	35.086353	23.1	30	Alboran Sea	Saidia Rocher
OSD26_2014-06-21_0m	-5.75	35.82	28	34.19	Strait of Gibraltar	Tangier
OSD28_2014-06-21_0.2m	88.08165	16.802575	29.5	35	Bay of Bengal	Belize
OSD29_2014-06-21_0.2m	-80.283366	27.4694	26.9	35.7	North Atlantic Ocean	Florida
OSD3_2014-06-20_0m	7.9	54.18194	14	32.591	North Sea	Helgoland
OSD30_2014-06-20_2m	23.2538	59.8822	10.5	5.63	Gulf of Finland	Tvarminne
OSD31_2014-06-12_1m	151.25	-34.0833	20.1183	35.4964	Tasman Sea	Port Hacking
OSD32_2014-06-23_1m	153.5622	-27.342	23.4	35.391	Coral Sea	North Stradbroke
OSD33_2014-06-19_1m	148.2333	-42.5966	13.9045	35.3598	Tasman Sea	Maria Island
OSD34_2014-06-21_0m	29.96667	31.21667	27	36	Mediterranean Sea - Eastern Basin	Alexandria
OSD35_2014-06-21_1m	-76.1742	38.6792	26.32	8.97	North Atlantic Ocean	Cheasapeake Bay
OSD36_2014-06-21_0.5m	-75.4699	39.3322	23.55	7.42	North Atlantic Ocean	Delaware
OSD37_2014-06-19_1m	-80.09315	26.10293	27.7	33.82	North Atlantic Ocean	Port Everglades
OSD38_2014-06-20_0m	-80.78375	24.7449	29.6	36.25	North Atlantic Ocean	Long Key
OSD39_2014-06-19_0.1m	-79.89954	32.7524	31.3	24.3		Charleston Harbor
OSD4_2014-06-20_0m	14.25	40.808	23.3	36.88	Tyrrhenian Sea	LTER-MC
OSD41_2014-06-21_1m	-123.0257	48.04051	15.9	24.73	The Coastal Waters of Southeast Alaska and British Columbia	Sequim Bay Park
OSD42_2014-06-21_3m	15.63708	38.26861	20	36.8	Tyrrhenian Sea	Faro Lake
OSD43_2014-06-21_0m	-117.25725	32.86698	20.04	33.54	North Pacific Ocean	SIO Pier
OSD45_2014-06-22_0m	-82.72587	27.61578	31.2	33.84	Gulf of Mexico	Tampa Bay
OSD46_2014-06-21_0m	-88.74825	30.2484	29.8	17.5	Gulf of Mexico	Horn Island
OSD47_2014-06-21_0m	12.4176	45.502	25.3	27.42	Adriatic Sea	Venice Lagoon
OSD48_2014-06-21_0m	12.5265	45.4125	22.2	33.14	Adriatic Sea	Venice Gulf
OSD49_2014-06-21_2m	13.33189	45.325568	22	34	Adriatic Sea	Vida
OSD5_2014-06-19_1m	24.99	35.661	24.46	39.29	Aegean Sea	Crete
OSD5_2014-06-19_75m	24.99	35.661	16.87	39.23	Aegean Sea	Crete
OSD50_2014-06-20_0m	-1.925	43.333333	20	34.3	Bay of Biscay	Pasaia
OSD51_2014-06-21_2m	-82.266	9.3485	29.1	34.6	Caribbean Sea	Bocas del Toro
OSD52_2014-06-21_1m	33.91255	27.02527	27	38.33	Red Sea	Abu Hashish
OSD53_2014-06-21_1m	33.907033	27.041533	27.28333333	38.352	Red Sea	Ras Disha
OSD54_2014-06-21_1m	-69.6409	43.8444	11.9	31	North Atlantic Ocean	Maine Booth Bay
OSD55_2014-06-21_1m	-69.5781	43.8604	12.5	32	North Atlantic Ocean	Maine Damariscotta River
OSD56_2014-06-24_0m	-156.86362	21.2888	26.06	35	North Pacific Ocean	Hawaii Kakaako
OSD57_2014-06-24_0m	-157.84351	21.28656	27.58	34	North Pacific Ocean	Hawaii Oahu
OSD58_2014-06-21_1m	-76.6707	34.7181	25.8	35.8	North Atlantic Ocean	PICO
OSD6_2014-06-21_0m	2.8	41.6666	20.66	37.83	Balearic Sea	Blanes
OSD60_2014-06-19_0.1m	-79.16763	33.32306	27.77	35.13	North Atlantic Ocean	South Carolina 2 - North Inlet
OSD61_2014-06-21_0.5m	-70.672174	41.524467	19.2	30.7	North Atlantic Ocean	Vineyard Sound
OSD62_2014-06-21_0.2m	-4.159028	53.225417	16	34	Irish Sea and St. George's Channel	Manai Straits
OSD63_2014-06-20_0m	12.508317	45.31435	21.781	32.768	Adriatic Sea	Venice Acqua Alta
OSD64_2014-06-21_1m	30.77595	46.44155	20.3	17.63	Black Sea	Odessa
OSD65_2014-06-20_0.1m	174.818567	-36.292794	16	34	South Pacific Ocean	Leigh Marine Laboratory (NZ)
OSD69_2014-06-21_0m	12.2605	45.4568	25.7	29.41	Adriatic Sea	Marghera
OSD7_2014-06-21_0.1m	-149.53985	-17.2894	27	37	South Pacific Ocean	Moorea - Tiahura
OSD70_2014-06-21_0m	12.4378	45.4142	23.4	31.67	Adriatic Sea	Lido
OSD71_2014-06-21_0m	170.7706	-45.7442	10.99	35.2	South Pacific Ocean	Otago
OSD72_2014-07-21_0.8m	10	54.8333	13.994	14.253	Kattegat	Boknis Eck
OSD73_2014-06-21_1m	-8.8341	41.6835	18.4	32.3	North Atlantic Ocean	Lima Estuary
OSD74_2014-06-21_1m	-8.6668	41.1416	20.2	13.75	North Atlantic Ocean	Douro Estuary
OSD76_2014-06-20_0.5m	12.935	43.9475	23.61	27.78	Adriatic Sea	Foglia
OSD77_2014-06-20_0.5m	13.0731	43.8514	24.1	26.29	Adriatic Sea	Metauro
OSD78_2014-06-21_0.5m	13.595	43.57	24.25	34.33	Adriatic Sea	CONISMA
OSD80_2014-06-21_0m	-20.3043	74.31	-0.1	5	Greenland Sea	Young Sound
OSD80_2014-06-21_2m	-20.3043	74.31	-1.6	32	Greenland Sea	Young Sound
OSD81_2014-06-21_0m	-7.973119	37.005053	22.2	34.3	North Atlantic Ocean	Ria Formosa Lagoon
OSD9_2014-06-18_0m	-118.4	33.55	19.2	33.56	North Pacific Ocean	SPOTS
OSD90_2014-06-21_2m	21.31689	38.48435	26.29	15.09	Ionian Sea	Etoliko Lagoon
OSD91_2014-06-21_2m	-9.036667	32.74675	19	27.24	North Atlantic Ocean	Oualidiya
OSD92_2014-06-21_2m	-7.700639	33.583917	24	30.75	North Atlantic Ocean	Casablanca
OSD93_2014-06-21_2m	-8.499222	33.259611	19	32.88	North Atlantic Ocean	Eljadida
OSD94_2014-06-21_0m	-2.214658	35.086353	23.6	31	Alboran Sea	Saidia Marina
OSD95_2014-06-21_0m	103.9168	1.2685	31	31.03	Singapore Strait	Singapore Indigo_V
OSD96_2014-06-21_0m	-25.3156	37.4257	18.5	35	North Atlantic Ocean	Sao Miguel Azores I
OSD97_2014-06-21_0.5m	-28.601778	38.5297	16.9	35.6	North Atlantic Ocean	Faial Azores
OSD98_2014-06-21_0.5m	-28.13	38.64	18.7	35.6	North Atlantic Ocean	Sao Jorge Azores
OSD99_2014-06-21_1m	13.71003	45.70092	20.821	33.931	Adriatic Sea	C1
